pptyp,dpurp,mode,deptm_hr,trexpfac,travdist,travtime,delay,source
Child Age 0-4,Escort,Bike,15,406.5105,0.556439394,3.338636364,0,survey
Child Age 0-4,Escort,HOV2,6,432.826875,10.06558112,22.68921169,0,survey
Child Age 0-4,Escort,HOV2,7,869.92125,3.001959936,14.65128428,0,survey
Child Age 0-4,Escort,HOV2,8,1712.2075,2.336758854,10.24450097,0,survey
Child Age 0-4,Escort,HOV2,9,4913.1215,5.143162453,14.70438008,0,survey
Child Age 0-4,Escort,HOV2,10,580.913875,9.33,18.82,0,survey
Child Age 0-4,Escort,HOV2,11,1264.523125,1.366049179,6.656583731,0,survey
Child Age 0-4,Escort,HOV2,12,539.780375,2.358721591,8.648645833,0,survey
Child Age 0-4,Escort,HOV2,13,1063.20075,4.448133438,10.96195551,0,survey
Child Age 0-4,Escort,HOV2,14,5129.8635,7.855041385,20.17730562,0,survey
Child Age 0-4,Escort,HOV2,15,4169.231,2.21996804,9.001961131,0,survey
Child Age 0-4,Escort,HOV2,16,1191.428,6.061060124,16.38963785,0,survey
Child Age 0-4,Escort,HOV2,17,1496.157375,3.525959803,10.86399201,0,survey
Child Age 0-4,Escort,HOV2,18,1049.893375,1.817506825,9.490048113,0,survey
Child Age 0-4,Escort,HOV2,19,78.30525,3.62,14.63,0,survey
Child Age 0-4,Escort,HOV3+,4,918.411125,3.64,10.97,0,survey
Child Age 0-4,Escort,HOV3+,5,470.638625,2.626133081,9.043375572,0,survey
Child Age 0-4,Escort,HOV3+,6,805.84625,6.966106247,14.80173022,0,survey
Child Age 0-4,Escort,HOV3+,7,7585.46325,7.140879152,17.82493009,0,survey
Child Age 0-4,Escort,HOV3+,8,16838.28538,6.828668854,16.53386944,0,survey
Child Age 0-4,Escort,HOV3+,9,3491.93825,5.475602608,13.42849104,0,survey
Child Age 0-4,Escort,HOV3+,10,785.103,3.975127119,13.38144321,0,survey
Child Age 0-4,Escort,HOV3+,11,916.777,4.33,12,0,survey
Child Age 0-4,Escort,HOV3+,12,4273.166875,4.230110519,10.8383999,0,survey
Child Age 0-4,Escort,HOV3+,13,2418.762,23.97476474,36.17841193,0,survey
Child Age 0-4,Escort,HOV3+,15,8312.816375,3.709543924,12.30169328,0,survey
Child Age 0-4,Escort,HOV3+,16,4860.998375,6.46084462,17.04268585,0,survey
Child Age 0-4,Escort,HOV3+,17,4997.206625,5.436530657,15.25899166,0,survey
Child Age 0-4,Escort,HOV3+,18,737.986375,1.445483399,7.687410264,0,survey
